sample_id,iou_score
r001s020_70,0.6259
r052s031_37,0.5667
r038s084_120,0.5771
r002s011_93,0.4208
r002s011_135,0.4550
r028s014_33,0.7759
r009s021_120,0.8333
r038s064_105,0.6190
r038s014_122,0.6738
r034s039_73,0.7298
r023s007_108,0.8444
r009s067_90,0.5346
r001s013_113,0.7937
r024s005_103,0.5135
r004s004_120,0.6784
r017s106_69,0.4101
r038s056_119,0.7202
r031s033_98,0.4878
r038s056_114,0.7052
r034s026_70,0.7140
r023s017_124,0.4939
r017s104_125,0.4524
r004s019_60,0.4470
r001s020_18,0.6667
r047s018_80,0.5878
r046s007_88,0.6143
r017s104_130,0.4352
r004s003_120,0.0000
r001s001_100,0.5545
r009s075_53,0.4333
r005s031_93,0.6032
r019s009_66,0.4758
r049s011_103,0.7158
r040s075_133,0.4169
r038s061_122,0.7683
r042s021_103,0.0920
r042s025_127,0.6373
r023s008_24,0.6316
r034s013_60,0.5680
r004s020_134,0.5352
r010s001_105,0.5825
r017s104_140,0.3592
r009s125_106,0.6200
r001s009_104,0.6631
r038s014_73,0.3414
r038s056_52,0.7071
r019s004_129,0.5134
r048s016_148,0.3719
r048s016_144,0.4812
r052s007_121,0.9000
r047s031_83,0.2356
r005s031_90,0.6600
r031s029_81,0.7458
r003s008_37,0.2884
r034s048_71,0.5465
r009s008_43,0.5547
r002s006_93,0.1586
r034s047_89,0.4833
r028s008_98,0.6409
r034s003_56,0.6022
r038s033_58,1.0000
r001s023_49,0.8000
r009s053_109,0.5556
r052s032_102,0.5660
r038s033_73,0.4211
r004s029_102,0.3009
r015s001_90,0.7085
r034s026_93,0.5277
r001s013_101,0.3529
r015s016_54,0.5833
r048s008_72,0.5974
r018s001_87,0.2443
r048s008_70,0.6037
r040s086_44,0.7153
r009s088_84,0.1967
r038s048_42,0.5768
r001s034_69,0.6178
r038s071_72,0.5791
r050s005_31,0.5899
r042s035_63,0.3333
r038s043_86,0.3076
r052s032_99,0.6310
r010s001_110,0.4340
r031s022_118,0.6080
r004s030_99,0.5052
r011s008_94,0.4532
r009s029_86,0.1473
r034s039_51,0.6391
r004s002_90,0.3234
r048s014_40,0.6818
r040s067_111,0.1917
r047s031_78,0.2983
r001s012_84,0.4966
r048s018_111,0.7337
r004s020_84,0.7750
r001s012_112,0.5776
r011s030_91,0.5025
r018s012_101,0.4478
r047s041_119,0.3667
r015s026_86,0.4575
r047s013_97,0.6000
r038s033_97,0.4367
r034s040_99,0.8750
r001s004_137,0.8045
r004s019_121,0.6296
r019s004_15,0.6234
r023s008_75,0.5573
r031s027_77,0.7143
r009s090_44,0.7838
r004s009_96,0.4818
r038s056_101,0.6650
r004s030_90,0.4240
r047s016_100,0.5258
r035s006_74,0.4555
r047s038_80,0.6855
r014s004_131,0.6032
r009s067_123,0.4144
r004s019_89,0.4963
r038s056_78,0.5699
r048s043_75,0.6638
r004s004_88,0.6456
r047s041_120,0.3117
r017s116_102,0.7321
r019s004_138,0.5263
r034s039_76,0.6854
r002s006_66,0.6387
r038s078_75,0.6391
r009s085_108,0.1253
r011s030_76,0.6389
r029s007_81,0.3129
r048s016_48,0.6795
r015s018_41,0.8434
r034s014_110,0.6542
r040s037_118,0.6481
r028s014_22,0.5155
r009s021_80,0.3750
r052s014_76,0.5966
r047s041_60,0.7411
r009s022_58,0.0004
r047s031_76,0.3013
r040s024_143,0.3973
r031s001_41,0.7793
r027s048_118,0.4245
r047s041_135,0.6032
r042s025_134,0.5845
r004s002_66,0.5395
r009s024_97,0.0000
r034s003_19,0.7125
r004s003_44,0.5413
r004s028_149,0.0000
r009s032_79,0.2294
r052s031_71,0.6154
r034s014_95,0.3588
r052s021_112,0.5073
r040s086_97,0.7185
r023s017_153,0.6436
r048s016_79,0.4449
r040s044_77,0.0125
r018s012_142,0.2979
r015s027_101,0.1109
r009s022_89,0.7241
r038s061_138,0.7382
r017s106_29,0.6580
r001s030_86,0.6389
r005s074_68,0.3154
r052s021_138,0.4579
r052s031_82,0.3906
r035s012_66,0.4876
r002s009_85,0.4879
r004s028_80,0.6466
r003s012_76,0.3860
r038s089_113,0.9545
r004s029_60,0.6087
r034s007_95,0.3509
r046s007_83,0.5714
r038s067_32,0.5082
r023s008_54,0.6897
r042s011_97,0.6763
r017s104_131,0.4854
r024s002_68,1.0000
r052s016_85,0.5765
r004s011_60,0.5881
r028s013_119,0.5222
r040s063_41,0.8000
r009s032_103,0.8148
r034s008_79,0.5385
r004s030_140,0.4099
r042s011_82,0.3287
r003s008_106,0.5366
r048s038_87,0.8246
r009s088_28,0.9000
r005s074_130,0.6149
r040s010_75,0.6667
r001s030_111,0.3979
r010s016_82,0.6875
r009s103_85,0.3315
r003s012_57,0.4444
r034s011_106,0.5290
r017s104_83,0.6569
r004s029_66,0.6295
r005s031_94,0.6355
r038s016_87,0.0962
r009s018_118,0.5667
r038s078_66,0.5943
r052s021_98,0.5263
r047s041_48,0.5884
r015s001_92,0.7125
r017s106_40,0.5793
r009s032_88,0.4152
r027s013_76,0.6250
r017s106_60,0.3542
r038s043_100,0.1989
r048s016_62,0.6022
r001s016_69,0.7109
r004s025_92,0.2820
r042s025_81,0.6982
r017s116_144,0.0505
r042s025_77,0.6296
r011s012_104,0.1648
r001s020_84,0.6415
r049s007_65,0.6803
r015s016_59,0.5782
r005s074_83,0.4406
r027s032_86,0.5263
r010s016_71,0.6026
r003s001_62,0.5024
r042s025_45,0.5724
r004s011_103,0.4005
r052s014_57,0.6005
r005s074_112,0.6394
r017s116_97,0.3149
r040s037_55,0.6494
r040s078_92,0.6455
r010s023_76,0.4800
r001s012_100,0.1954
r040s078_100,0.7051
r011s012_72,0.6226
r011s012_68,0.4607
r011s030_92,0.5403
r001s004_39,0.5680
r009s008_38,0.9167
r034s007_124,0.5301
r027s048_53,0.0353
r031s020_140,0.1504
r024s013_83,0.7143
r004s029_113,0.3925
r004s030_91,0.4480
r011s030_64,1.0000
r038s033_71,0.3098
r042s033_79,0.6667
r015s001_79,0.5000
r035s012_74,0.5635
r038s089_59,0.0000
r042s018_154,0.4000
r010s004_70,0.7500
r040s037_58,0.6190
r004s002_81,0.5114
r031s005_99,0.8000
r001s026_91,0.2906
r023s017_92,0.3342
r049s025_43,0.1957
r031s014_76,0.6867
r048s006_51,0.6592
r009s096_122,0.6341
r034s015_76,0.6286
r004s019_49,0.5584
r028s009_78,0.6270
r003s008_77,0.5265
r009s096_82,0.6016
r003s008_38,0.3863
r038s041_92,0.6905
r052s019_116,0.2188
r048s004_107,0.2792
r052s014_94,0.3318
r001s009_87,0.5429
r047s044_91,0.3976
r009s060_84,0.5000
r015s016_99,0.7034
r009s037_55,0.5000
r027s048_129,0.4801
r004s028_89,0.5985
r001s013_85,0.5714
r010s022_92,0.7500
r028s014_42,0.4000
r009s051_101,0.5455
r034s010_67,0.7556
r001s029_75,0.7105
r038s084_67,0.4143
r047s044_100,0.6149
r009s123_104,0.5380
r005s074_145,0.6667
r004s028_51,0.4571
r038s078_135,0.2385
r031s035_98,0.6309
r001s026_101,0.0000
r029s009_108,0.6000
r001s020_72,0.6903
r009s051_94,0.3839
r038s064_92,0.3823
r040s024_73,0.6667
r052s023_38,0.5427
r004s003_71,0.5422
r052s019_142,0.6800
r047s041_113,0.5347
r023s008_110,0.0016
r027s013_89,0.7615
r010s006_100,0.5000
r009s064_75,0.7577
r040s075_81,0.5881
r031s012_72,0.4879
r035s006_56,0.8125
r004s010_67,0.6573
r019s008_63,0.3980
r015s025_81,0.8554
r052s019_8,0.7064
r011s029_69,0.6593
r009s085_111,0.2900
r001s009_98,0.7619
r015s027_54,0.3568
r040s010_108,0.4415
r002s011_98,0.4614
r004s002_55,0.5750
r005s075_56,0.8457
r048s008_69,0.5367
r034s014_68,0.8636
r038s048_53,0.5721
r004s020_79,0.5892
r001s038_112,0.7500
r005s031_39,0.3667
r031s022_133,0.6751
r031s035_137,0.2264
r005s075_82,0.6584
r047s016_40,0.6667
r029s009_83,0.5974
r009s125_38,0.5357
r038s056_48,0.1667
r003s008_42,0.4657
r029s009_82,0.5854
r010s006_104,0.5638
r048s008_107,0.7808
r001s004_12,0.3444
r042s018_79,0.6044
r001s012_88,0.0775
r004s003_50,0.2336
r031s019_145,0.5600
r023s008_137,0.7149
r027s047_95,0.5789
r004s015_73,0.7149
r047s018_94,0.3808
r038s071_79,0.5814
r023s008_125,0.4018
r018s001_104,0.6623
r015s027_83,0.2469
r004s019_74,0.5069
r038s022_91,0.2087
r040s067_113,0.3488
r034s007_116,0.7069
r038s043_140,0.5156
r011s034_63,0.6667
r038s014_139,0.3753
r040s037_61,0.0457
r009s007_131,0.4802
r009s032_93,0.2671
r001s018_66,0.7778
r048s008_49,0.4000
r010s032_94,0.5082
r028s002_43,0.5721
r015s026_108,0.3160
r002s009_87,0.4254
r002s005_73,0.5963
r038s096_93,0.5192
r010s006_71,0.6875
r040s075_93,0.4758
r027s032_81,0.6016
r011s029_61,0.9000
r052s007_103,0.6667
r001s012_82,0.5704
r018s012_134,0.3010
r029s009_98,0.8500
r028s007_90,0.6288
r011s010_87,0.5847
r003s012_71,0.3797
r009s103_96,0.3490
r002s005_78,0.7381
r034s007_104,0.5751
r038s036_78,0.3122
r005s031_107,0.5906
r009s062_72,0.7708
r009s034_83,0.5971
r004s029_118,0.4306
r009s024_55,0.6667
r004s028_103,0.3456
r040s085_15,0.7778
r034s003_34,0.6353
r028s013_117,0.5981
r047s031_107,0.3387
r010s004_82,0.6842
r047s001_125,0.4735
r018s001_94,0.3734
r027s048_55,0.1494
r002s001_63,0.4688
r009s118_72,0.5786
r009s096_90,0.5464
r031s005_121,0.7000
r003s001_49,0.5556
r009s096_102,0.6400
r031s036_114,0.5570
r048s018_128,0.7913
r047s001_136,0.5256
r038s036_65,0.3874
r031s022_116,0.7522
r050s005_26,0.3509
r005s031_51,0.6766
r009s032_73,0.6667
r040s045_99,0.4132
r009s064_63,0.8333
r034s014_85,0.4852
r034s008_74,0.2807
r009s118_70,0.6117
r052s032_114,0.5316
r009s007_87,0.0088
r001s017_35,0.6944
r040s037_115,0.0553
r009s058_110,0.7500
r048s018_105,0.6856
r040s010_80,0.2511
r035s013_56,0.3789
r028s013_95,0.5444
r050s005_34,0.5714
r004s004_35,0.0000
r052s019_22,0.6088
r031s004_124,0.6875
r031s001_76,0.4817
r011s012_106,0.8571
r001s004_34,0.7068
r009s058_143,0.8333
r029s009_81,0.7297
r040s078_101,0.6552
r052s023_31,0.6000
r038s056_53,0.4146
r040s086_130,0.5975
r001s029_120,0.6316
r031s028_107,0.5515
r047s048_36,0.5333
r023s017_131,0.0031
r023s008_141,0.5739
r018s012_126,0.3552
r040s044_136,0.6022
r004s028_93,0.5044
r047s016_34,0.6410
r048s012_77,0.7928
r047s044_82,0.6002
r027s047_68,0.7481
r027s048_115,0.3392
r001s009_137,0.6396
r001s020_15,0.0000
r010s001_111,0.6905
r038s089_66,0.0000
r031s031_101,0.2577
r004s009_49,0.4586
r001s004_29,0.6519
r047s016_98,0.5382
r048s008_67,0.4253
r042s008_72,0.7477
r052s014_75,0.6317
r005s081_118,0.5676
r035s012_96,0.5358
r015s026_111,0.5094
r042s018_96,0.6812
r004s029_128,0.4248
r027s048_59,0.2359
r027s048_58,0.1757
r038s023_103,0.5714
r034s026_116,0.4912
r001s010_34,0.3869
r052s019_125,0.3311
r001s001_68,0.7533
r019s010_74,0.7755
r018s007_104,0.4260
r001s034_61,0.3333
r048s038_97,0.8947
r004s019_57,0.5804
r034s008_102,0.0000
r038s035_70,0.3107
r019s009_75,0.6250
r048s038_77,0.5636
r049s005_29,0.5224
r005s075_101,0.3548
r001s034_70,0.6070
r011s008_81,0.8814
r004s003_47,0.3687
r015s027_90,0.2036
r009s085_96,0.6111
r024s005_89,0.5683
r024s013_90,0.6122
r049s024_40,0.5000
r038s016_73,0.0701
r042s025_25,0.6935
r005s068_130,0.4242
r052s016_82,0.4323
r040s054_80,0.5172
r052s019_17,0.4563
r040s044_87,0.6136
r009s113_115,0.7143
r003s012_69,0.4260
r047s041_57,0.5939
r001s029_124,0.6667
r038s078_64,0.5931
r004s028_60,0.2184
r034s013_113,0.4643
r047s031_67,0.3810
r009s125_43,0.8060
r048s038_98,0.5714
r039s003_83,0.2558
r001s034_85,0.6410
r004s010_116,0.4541
r011s010_100,0.3274
r040s037_129,0.0711
r038s036_73,0.3443
r047s031_71,0.3913
r009s064_104,0.7593
r018s012_114,0.1728
r038s014_64,0.4286
r038s022_87,0.1130
r009s064_83,0.5823
r009s067_40,0.4792
r052s021_136,0.4989
r031s031_104,0.6375
r009s032_59,0.5972
r002s011_103,0.6131
r005s068_109,0.7460
r024s005_115,0.5776
r031s005_77,0.3645
r034s013_116,0.4131
r001s016_85,0.6778
r038s033_87,0.5022
r040s063_55,0.6111
r004s020_146,0.4750
r031s020_142,0.5023
r048s018_154,0.6250
r028s013_113,0.6786
r042s008_66,1.0000
r003s008_69,0.5441
r009s121_69,0.8214
r023s017_91,0.4503
r048s018_73,0.5542
r009s032_116,0.6446
r031s028_114,0.4561
r002s005_82,0.5141
r052s031_92,0.2814
r040s010_81,0.0876
r011s030_73,0.6667
r027s048_128,0.4446
r031s004_123,0.8400
r038s016_85,0.1553
r049s005_14,0.5750
r015s026_84,0.5000
r002s008_121,0.4372
r038s078_57,0.6055
r034s011_100,0.2677
r003s010_34,1.0000
r009s053_34,0.4762
r040s024_145,0.4914
r034s032_84,0.6038
r034s040_97,0.5000
r009s022_57,0.0028
r028s007_98,0.7500
r010s032_103,0.0000
r024s002_134,0.0983
r005s031_59,0.6567
r028s007_87,0.7407
r027s048_133,0.3395
r038s071_60,0.3732
r031s004_111,0.6875
r009s041_37,0.7033
r027s006_83,0.7500
r017s116_116,0.6250
r004s015_67,0.6644
r001s008_26,0.5652
r004s020_75,0.7885
r001s027_63,0.6885
r001s013_143,0.5185
r047s038_113,0.0520
r047s031_93,0.3343
r038s097_81,0.7500
r048s043_65,0.7000
r011s010_83,0.5315
r019s009_83,0.7070
r023s017_102,0.0000
r017s104_147,0.4096
r047s044_59,0.4484
r018s001_118,0.4481
r009s078_83,0.7273
r048s006_11,0.7870
r031s035_140,0.4324
r038s048_44,0.4506
r015s025_80,0.5205
r031s001_43,0.7795
r031s001_48,0.7399
r034s011_113,0.7738
r031s022_140,0.3340
r038s064_100,0.5180
r009s022_61,0.0079
r004s024_90,0.4749
r010s027_85,0.8667
r001s006_91,0.1538
r004s004_125,0.5750
r024s002_77,0.2901
r017s118_77,0.5143
r052s019_121,0.1686
r042s011_96,0.7203
r031s004_93,0.7288
r052s014_111,0.6667
r048s008_53,0.5600
r031s020_139,0.2328
r034s039_110,0.6484
r003s001_126,0.7500
r011s010_103,0.4868
r005s074_105,0.5578
r009s007_91,0.2412
r047s031_112,0.1939
r009s058_69,0.6667
r004s024_111,0.2812
r034s026_108,0.4942
